year,state_abbr,state_name,population,violent_crime,property_crime,total_crime,homicide,rape_legacy,rape_legacy_cleaned,aggravated_assault,robbery,rape_revised,rape_revised_cleaned,burglary,larceny,motor_vehicle_theft,violent_crime_rate_100k,%violent_crime_100k,property_crime_rate_100k,%property_crime_100k,%total_crime_per_100k
2012,LA,Louisiana,4602134,22839,162673,185512,489,1155.0,1155,15737,5458,,0,42037,112764,7872,496.269774,0.496269774,3534.729758,3.534729758,4.030999532
2012,KY,Kentucky,4379730,9852,112800,122652,201,1312.0,1312,4792,3547,,0,29877,76199,6724,224.9453733,0.2249453733,2575.50123,2.57550123,2.800446603
2012,KS,Kansas,2885398,10292,91066,101358,85,1105.0,1105,7609,1493,,0,18874,65413,6779,356.6925603,0.3566925603,3156.098396,3.156098396,3.512790956
2012,IN,Indiana,6537782,22544,197994,220538,307,1661.0,1661,13975,6601,,0,47689,136668,13637,344.8264258,0.3448264258,3028.458275,3.028458275,3.373284701
2012,IL,Illinois,12868192,53556,332706,386262,770,3581.0,3581,29725,19480,,0,71100,235314,26292,416.1890031,0.4161890031,2585.491419,2.585491419,3.001680423
2012,ID,Idaho,1595590,3348,31825,35173,30,495.0,495,2580,243,,0,7240,23203,1382,209.8283394,0.2098283394,1994.560006,1.994560006,2.204388345
2012,IA,Iowa,3075039,8167,70357,78524,49,901.0,901,6255,962,,0,17201,49116,4040,265.5901275,0.2655901275,2288.003502,2.288003502,2.553593629
2012,HI,Hawaii,1390090,3378,43419,46797,21,279.0,279,1953,1125,,0,7653,31901,3865,243.0058485,0.2430058485,3123.466826,3.123466826,3.366472674
2012,GA,Georgia,9915646,37675,339473,377148,583,2143.0,2143,22447,12502,,0,86992,223875,28606,379.955073,0.379955073,3423.609516,3.423609516,3.803564589
2012,FL,Florida,19320749,94087,632988,727075,1009,5260.0,5260,63929,23889,,0,153563,442095,37330,486.9738746,0.4869738746,3276.208391,3.276208391,3.763182266
2012,DE,Delaware,917053,5048,30707,35755,56,249.0,249,3245,1498,,0,7389,21880,1438,550.4589157,0.5504589157,3348.443329,3.348443329,3.898902244
2012,DC,District of Columbia,633427,7866,30757,38623,88,236.0,236,3505,4037,,0,3519,23575,3663,1241.816342,1.241816342,4855.650296,4.855650296,6.097466638
2012,CT,Connecticut,3591765,10183,77169,87352,117,933.0,933,5424,3709,,0,14787,55904,6478,283.5096394,0.2835096394,2148.498023,2.148498023,2.432007662
2012,CO,Colorado,5189458,15951,139355,155306,152,2122.0,2122,10285,3392,,0,26163,101091,12101,307.3731399,0.3073731399,2685.347873,2.685347873,2.992721012
2012,CA,California,37999878,160944,1049465,1210409,1884,7837.0,7837,94702,56521,,0,245767,635090,168608,423.5382019,0.4235382019,2761.758867,2.761758867,3.185297069
2012,AZ,Arizona,6551149,28077,231701,259778,358,2282.0,2282,18054,7383,,0,52911,159808,18982,428.5813069,0.4285813069,3536.799423,3.536799423,3.965380729
2012,AR,Arkansas,2949828,13851,109389,123240,174,1233.0,1233,10134,2310,,0,32673,70982,5734,469.552801,0.469552801,3708.317909,3.708317909,4.17787071
2012,AL,Alabama,4817528,21693,168878,190571,342,1296.0,1296,15035,5020,,0,47481,111523,9874,450.2931794,0.4502931794,3505.490783,3.505490783,3.955783962
2012,AK,Alaska,730307,4412,20037,24449,30,583.0,583,3169,630,,0,2950,15565,1522,604.1294962,0.6041294962,2743.640688,2.743640688,3.347770184
2011,WY,Wyoming,567356,1245,12878,14123,18,146.0,146,1010,71,,0,1864,10493,521,219.4389413,0.2194389413,2269.827057,2.269827057,2.489265999
2011,WV,West Virginia,1854908,5497,39009,44506,87,372.0,372,4236,802,,0,10245,26656,2108,296.3489294,0.2963489294,2103.015352,2.103015352,2.399364281
